,Topic 1,Topic 2,Topic 3,Topic 4
Word 1,della,corsica,de,corsica
Word 2,corsica,corsi,se,corsu
Word 3,de,corsu,corsi,paese
Word 4,vole,mai,corsica,corsi
Word 5,del,omu,te,mai
Word 6,francesi,petru,maria,ad
Word 7,se,ad,fu,core
Word 8,mamma,face,core,vole
Word 9,lo,altri,mai,tre
Word 10,bastia,vole,corsu,tempu
