,Topic 1,Topic 2,Topic 3,Topic 4
Word 1,corsica,paulu,paoli,natale
Word 2,corsi,petru,petru,pasquale
Word 3,paoli,maria,pasquale,corsica
Word 4,petru,corsica,paulu,de
Word 5,corsu,ah,maria,corsi
Word 6,pasquale,paoli,omu,paulu
Word 7,de,corsi,natale,paoli
Word 8,mai,de,se,babbu
Word 9,fu,pasquale,fede,saveriu
Word 10,paulu,vole,patria,petru
