,filename,author,G.dilaGrotta,L'Orsud'Orezza,MartinuAppinzapalu,PetruRocca
0,Altore_N219_A6_co_let.txt,PetruRocca,-1.3141697997509372,-0.3568872008944639,-0.16343972336597387,-0.16325643521512334
1,Altore_N270_A7_co_art.txt,L'Orsud'Orezza,-0.6190474272329798,0.09797534751082349,-0.5053263853876849,-0.9700019384678588
2,Altore_N270_A7_co_let.txt,MartinuAppinzapalu,-0.6990890957264462,-0.33584255928365875,-0.21030185499839854,-0.7515080064096273
3,Altore_N272_A7_co_poe.txt,L'Orsud'Orezza,-1.1606098022503235,0.22187817541576194,-0.12043364018526667,-0.9371315705592508
4,Altore_N274_A7_co_let.txt,L'Orsud'Orezza,-1.2070948888040904,0.41738704654116154,-0.8206499535127034,-0.38834295445567873
5,Altore_N275_A7_co_poe.txt,PetruRocca,-0.7856647976886331,-1.4620714693883525,-0.4205615799882031,0.6698558996177734
6,Altore_N276_A8_co_let.txt,MartinuAppinzapalu,-0.3897119424339065,-0.5276813015595483,0.1628662812301767,-1.241740092421288
7,Altore_N290_A8_co_art.txt,PetruRocca,-2.1015644637498183,-0.5885069313862951,-0.06405866746173039,0.7558296017487794
8,Altore_N291_A8_co_let.txt,PetruRocca,-1.1324473733882172,-0.32298054480788163,-0.40268537471304977,-0.13959957589521443
9,Altore_N299_A8_co_let.txt,MartinuAppinzapalu,-0.9204559102626675,-1.2367727977929444,0.6492764240496115,-0.48824252974521376
10,Altore_N303_A8_co_art.txt,MartinuAppinzapalu,-0.8399357206355945,-0.44410630753707414,0.1520496749300268,-0.8646244627881658
11,Altore_N304_A8_co_let.txt,PetruRocca,-0.45292138866341963,-1.4045161164385904,-0.2311956414222217,0.09181874521483235
12,Altore_N305_A8_co_let.txt,MartinuAppinzapalu,-1.0402787907000977,-0.6213708022358998,0.4327059950695984,-0.7678438907873278
13,Altore_N306_A8_co_art.txt,PetruRocca,-1.2696169469300465,-0.9661791790723941,0.03893128566548526,0.19890733324346455
14,Altore_N310_A9_co_let.txt,PetruRocca,-0.5854364323271467,-0.4322993949201698,-0.7997905735608613,-0.17989109822453153
15,Altore_N311_A9_co_art.txt,PetruRocca,-0.5710642255246635,-0.5175942180334125,-0.619073937802872,-0.28944838807453155
16,Altore_N313_A9_co_art.txt,PetruRocca,-1.1906900427246865,-0.24243180736063835,-0.8812492474179444,0.31611693003138364
17,Altore_N314_A9_co_let.txt,PetruRocca,-1.275828064397348,-1.1546152929865021,-0.07842114726690808,0.5109391383255534
18,Altore_N316_A9_co_art.txt,MartinuAppinzapalu,-1.0191554559968494,-0.3533725689347195,-0.11538923979431662,-0.5087789298446823
19,Altore_N323_A9_co_art.txt,PetruRocca,-0.7983028045928384,-0.6801017779170724,-0.25974656236603333,-0.25940825145397134
20,Altore_N326_A9_co_let.txt,PetruRocca,-1.3341941793339425,-0.45409112721804284,-0.6060336839177567,0.3959472955036948
21,Altore_N331_A9_co_art.txt,PetruRocca,-0.4516038278896733,-0.9574767529465936,-0.41701560214364974,-0.17053741018857238
22,Altore_N332_A9_co_art.txt,PetruRocca,-0.8622811859166082,-0.835453783648852,-0.26515538964004093,-0.03483248078642176
23,Altore_N333_A9_co_art.txt,L'Orsud'Orezza,-0.9020876536094816,0.1018656031657611,-1.1602927544126427,-0.03803078480379107
24,Altore_N334_A9_co_let.txt,MartinuAppinzapalu,-0.5869583718849336,-0.5255441204840285,-0.18192772212270444,-0.7024341026755568
25,Altore_N338_A9_co_art.txt,L'Orsud'Orezza,-0.8303709480078232,0.14338458683786215,-0.5585555236521461,-0.7513843982933187
26,Altore_N346_A10_co_art.txt,L'Orsud'Orezza,-1.1903376586629535,-0.19140241138305186,-0.34977569257816743,-0.26678195385970316
27,Altore_N347_A10_co_art.txt,PetruRocca,-0.62836885277743,-0.5199631394621844,-1.0166748355612012,0.1667947537698976
28,Altore_N348_A10_co_art.txt,PetruRocca,-1.1688025979687575,-0.8415235564669657,-0.7958312884978068,0.8073304267891294
29,Altore_N351_A10_co_art.txt,PetruRocca,-0.7205543846201954,-0.19082048659997003,-1.2948158489040344,0.2079004812079458
30,Altore_N352_A10_co_let.txt,PetruRocca,-1.097103701671839,-0.4496403941450642,-0.5664712605370273,0.11457264630941522
31,Altore_N356_A10_co_let.txt,MartinuAppinzapalu,-0.7162689839238658,-0.6299371960740582,0.30104397962369533,-0.9515270034402525
32,Altore_N357_A10_co_art.txt,PetruRocca,-1.0773421018776084,-0.6588811980027945,-0.7606625968469322,0.49892939047439555
33,Altore_N359_A10_co_let.txt,PetruRocca,-0.21975345914711097,-1.082243141458628,-0.8519879033816481,0.15692005709986412
34,Altore_N367_A10_co_art.txt,PetruRocca,-1.3777586679182545,0.19927660613536013,-1.02902492331441,0.20821533699651162
35,Altore_N368_A10_co_let.txt,MartinuAppinzapalu,-0.9611174992187267,-0.2064864780552138,-0.039810701230452106,-0.7901098536079746
36,Altore_N370_A10_co_art.txt,PetruRocca,-1.600189711905922,-0.8824868502878841,-0.2597864047445254,0.744694683383084
37,Altore_N372_A10_co_let.txt,MartinuAppinzapalu,-1.784274969562507,0.1558046689281749,0.3561560894979534,-0.7247946583855812
38,Altore_N374_A10_co_let.txt,MartinuAppinzapalu,-1.1522414333946425,-0.9499044722782262,0.45231726671162364,-0.346953631596283
39,Altore_N375_A10_co_art.txt,PetruRocca,-0.5315826628779589,-0.166341386676836,-1.2980584244273516,-0.0021602468405840236
