,filename,author,G.dilaGrotta,L'Orsud'Orezza,M.AlessandridiChidazzu,Maistrale,MartinuAppinzapalu,PetruRocca,USampetracciu,V.G.d'Altimonti
0,Altore_N219_A6_co_let.txt,USampetracciu,-1.2837387197203962,-0.8588651131685198,-0.8662651518708554,-0.5917361955410743,-1.2465422174837535,-0.7717585367358095,-0.10124617249900347,-0.276610824731249
1,Altore_N270_A7_co_art.txt,USampetracciu,-1.0028729808991501,-0.262812725247757,-0.9707119198755461,-0.6698154199453409,-0.8811809821268293,-1.0923123045849443,-0.1997748847608692,-0.9145212117063715
2,Altore_N270_A7_co_let.txt,USampetracciu,-0.8164659312863087,-0.6177683945440727,-0.7746453908794593,-1.105794740907442,-0.8614557047464366,-0.9373822767846081,0.4096376569814013,-1.291336167444578
3,Altore_N272_A7_co_poe.txt,L'Orsud'Orezza,-1.0653785055295066,-0.2551296782938658,-0.3920037137801613,-0.704840978877926,-0.4946264565633536,-0.746342989985288,-1.0880668470618517,-1.2485778441321167
4,Altore_N274_A7_co_let.txt,USampetracciu,-1.1351142322833063,-0.4465385204397374,-0.980436942910174,-0.7133899719237484,-1.396423803466893,-1.343728435247064,0.9027475687305597,-0.8829284871906856
5,Altore_N275_A7_co_poe.txt,PetruRocca,-0.9618446464938308,-1.1723937864374714,-1.0879181115125751,-0.8051639186292688,-0.5700785455673555,-0.10727043801072245,-0.23421625881709596,-1.0589289798038817
6,Altore_N276_A8_co_let.txt,USampetracciu,-0.45016019619628506,-0.9351042033315622,-0.7855780457575627,-1.0186199025329117,-0.2870360305958942,-1.0350864053047886,-0.11149394526944134,-1.3708211727189366
7,Altore_N290_A8_co_art.txt,V.G.d'Altimonti,-1.8661107460800364,-1.178035835554367,-1.0551776751392943,-1.0751019263718242,-0.7106945407314663,-0.6781996217980186,0.21943642678569775,0.34683379220352295
8,Altore_N291_A8_co_let.txt,USampetracciu,-1.0723065930951,-0.7149138634312917,-1.2398234223759435,-0.9463868846597752,-0.665076012495779,-0.4000726192447567,0.137610850200103,-1.0945685234274276
9,Altore_N299_A8_co_let.txt,USampetracciu,-1.1237113461153085,-1.455121887375981,-0.6150666731480509,-0.9888863458466988,-0.3414661148072854,-0.49004727103944745,0.3634842941148886,-1.3419663976790435
10,Altore_N303_A8_co_art.txt,V.G.d'Altimonti,-1.2161329983193472,-1.1735257327313906,-0.8397607644630014,-1.0778804211086281,-0.5679501203845535,-1.5259874857265492,0.16885894424019288,0.2380130667892182
11,Altore_N304_A8_co_let.txt,USampetracciu,-0.6337391471005351,-1.368394604600676,-1.1005972620012259,-1.1460218486340552,-0.6929748644078261,-0.6357003302515937,0.07621790839957887,-0.49203020810883225
12,Altore_N305_A8_co_let.txt,MartinuAppinzapalu,-1.1812840959653261,-1.154238937650411,-0.4185239907098641,-1.0267150642145202,-0.13828150581632237,-0.8396866390764692,-0.6295785458720877,-0.6060644407091842
13,Altore_N306_A8_co_art.txt,USampetracciu,-1.45126933952417,-1.2745124853325729,-1.169218326544414,-1.081689386229535,-0.3340599903975488,-0.38823340369710346,0.21098217092495208,-0.5084648342602132
14,Altore_N310_A9_co_let.txt,USampetracciu,-0.6073100359003822,-0.6146027647726968,-1.0268123135143976,-1.012246428535501,-0.990780582377466,-0.6251104079023144,0.1531070499205096,-1.270115934194812
15,Altore_N311_A9_co_art.txt,V.G.d'Altimonti,-0.8407783934877908,-0.5242347567713652,-0.9101625332561701,-1.1649104426280417,-0.7608819286938013,-0.6250204831101522,-0.9370894807676651,-0.23257495961867192
16,Altore_N313_A9_co_art.txt,V.G.d'Altimonti,-1.1052367635679607,-0.3586851480479611,-0.6847483970123004,-1.4322941350902547,-1.0670977130089774,-0.29657359143615036,-0.7949464724512519,-0.2579969293660108
17,Altore_N314_A9_co_let.txt,USampetracciu,-1.0790596098239371,-1.2402503534706366,-0.5544572192610437,-1.4288370872892424,-0.5907925854275835,-0.0625742803376359,-0.0006082290091031783,-1.0389826798015938
18,Altore_N316_A9_co_art.txt,USampetracciu,-1.1363321978557437,-0.8105623040914641,-1.2824749385005156,-1.1456484708655452,-0.6180748854545918,-0.9908311231044488,0.3997657929626248,-0.4115971110052392
19,Altore_N323_A9_co_art.txt,USampetracciu,-1.1555212486069526,-1.0079923183599364,-0.9022272249214502,-0.8312682883667855,-1.0948214177989242,-0.5269636447559745,-0.09667727875254017,-0.38119016055706606
20,Altore_N326_A9_co_let.txt,USampetracciu,-1.0433002883680347,-1.3551851946475648,-0.8122541507493071,-1.343484968280003,-1.0265859636377037,-0.46361699066933976,0.7294677323691052,-0.681094079921745
21,Altore_N331_A9_co_art.txt,USampetracciu,-0.911418028565758,-0.9956373904113651,-1.1923153149425367,-0.8207549929072072,-0.8634425573968547,-0.48575448234221674,-0.21836758112363674,-0.5085551163925772
22,Altore_N332_A9_co_art.txt,USampetracciu,-1.0482930164356077,-1.4599733488467421,-0.7839555630086794,-1.1170568547068676,-0.9346715525398985,-0.5209240493422734,0.4065123889352553,-0.5371107099977671
23,Altore_N333_A9_co_art.txt,PetruRocca,-0.8731663508561425,-0.32230293088030937,-1.295211804792125,-1.4621628025061564,-1.3159936723673087,-0.08030553226879367,-0.38671308497060697,-0.26118446895873637
24,Altore_N334_A9_co_let.txt,MartinuAppinzapalu,-0.7232381966418558,-0.43038622184174113,-1.1512809370058508,-0.9933661392883688,-0.34255355062756443,-0.8030671739222544,-0.5711219145148656,-0.9801354626730667
