,filename,author,G.dilaGrotta,L'Orsud'Orezza,M.AlessandridiChidazzu,Maistrale,MartinuAppinzapalu,PetruRocca,USampetracciu,V.G.d'Altimonti
0,Altore_N219_A6_co_let.txt,USampetracciu,-1.2837480147135847,-0.8588660370501676,-0.866263756548534,-0.5917332237409796,-1.2465250583359129,-0.7717572753752373,-0.10125489505913854,-0.27660930683142404
1,Altore_N270_A7_co_art.txt,USampetracciu,-1.0028862060284018,-0.2628158174051044,-0.970710167182689,-0.6698129044003919,-0.8811668245992792,-1.092313781953141,-0.19978469479290523,-0.9145158218909439
2,Altore_N270_A7_co_let.txt,USampetracciu,-0.8164711826332037,-0.6177732894195924,-0.7746438573097547,-1.1057905751648691,-0.8614432450408424,-0.9373830322725083,0.40963121461963836,-1.2913332148099412
3,Altore_N272_A7_co_poe.txt,L'Orsud'Orezza,-1.0653827707122825,-0.2551385836117691,-0.3920043118030492,-0.7048464149745816,-0.49461429084894065,-0.7463413806295944,-1.0880741545366353,-1.2485801226955042
4,Altore_N274_A7_co_let.txt,USampetracciu,-1.1351249105197625,-0.4465480810801392,-0.9804327110761051,-0.713395628745831,-1.3964113483610716,-1.3437298339797101,0.902736205990317,-0.8829286271185449
5,Altore_N275_A7_co_poe.txt,PetruRocca,-0.9618551908400095,-1.1724019943456576,-1.0879173413055898,-0.805161966613386,-0.5700636485673649,-0.1072722634972646,-0.23422143372433135,-1.05893042288616
6,Altore_N276_A8_co_let.txt,USampetracciu,-0.4501703545838104,-0.9351082225927939,-0.7855803170310618,-1.018620940827687,-0.28703022842215575,-1.035085916217659,-0.11150380329921483,-1.3708202275715766
7,Altore_N290_A8_co_art.txt,V.G.d'Altimonti,-1.8661204213266076,-1.1780365365483692,-1.0551772568932376,-1.0750964798094143,-0.7106792125603029,-0.6781965155796449,0.21942820828394827,0.34682793362304
8,Altore_N291_A8_co_let.txt,USampetracciu,-1.0723207860278907,-0.7149144422453084,-1.2398250168467342,-0.9463825269224322,-0.6650648754771993,-0.4000701302533275,0.1376072169111099,-1.0945676017473882
9,Altore_N299_A8_co_let.txt,USampetracciu,-1.1237208120398625,-1.4551193389459913,-0.6150651267557222,-0.9888822147770022,-0.341456980783274,-0.49004864401529946,0.36346935069189445,-1.341958304471003
10,Altore_N303_A8_co_art.txt,V.G.d'Altimonti,-1.216145759297364,-1.1735341330680544,-0.8397635684973067,-1.0778755798980513,-0.5679317509265891,-1.5259856166485037,0.1688517763083931,0.23801051516392469
11,Altore_N304_A8_co_let.txt,USampetracciu,-0.6337503721817942,-1.368401966961149,-1.100601829434157,-1.1460213569260498,-0.6929678935431075,-0.6357004012624381,0.07621385786471246,-0.49202741127978356
12,Altore_N305_A8_co_let.txt,MartinuAppinzapalu,-1.1812963297418713,-1.1542405500354271,-0.41852114507931915,-1.0267132234137462,-0.1382720048951579,-0.8396857010181664,-0.6295848883307887,-0.6060665360040768
13,Altore_N306_A8_co_art.txt,USampetracciu,-1.451278589470318,-1.2745122836286857,-1.1692173031777358,-1.0816880925551535,-0.3340459190244773,-0.3882351313968833,0.21097493293089087,-0.5084690039926903
14,Altore_N310_A9_co_let.txt,USampetracciu,-0.6073182962487975,-0.6146103879945517,-1.0268119816930286,-1.0122380738806538,-0.9907708085406035,-0.6251055443766127,0.15310300795853649,-1.270119633240616
15,Altore_N311_A9_co_art.txt,V.G.d'Altimonti,-0.8407931886884646,-0.5242401018866572,-0.9101599958276846,-1.1649130671291588,-0.7608676341531716,-0.6250168811223323,-0.937090814644333,-0.23257547372047993
16,Altore_N313_A9_co_art.txt,V.G.d'Altimonti,-1.105245074931362,-0.35868541718255165,-0.6847521050518293,-1.4322929173462018,-1.067080697314243,-0.29657517992117,-0.7949522495897912,-0.25799906788745075
17,Altore_N314_A9_co_let.txt,USampetracciu,-1.0790707312261516,-1.2402548053324556,-0.5544561775498233,-1.428836966168988,-0.5907843121425354,-0.06257551741050205,-0.0006137877048878471,-1.038983317105113
18,Altore_N316_A9_co_art.txt,USampetracciu,-1.1363442099135646,-0.8105616411790957,-1.2824766656397688,-1.145652101311551,-0.6180638684957666,-0.9908261508351763,0.39975142464836266,-0.4115973757969924
19,Altore_N323_A9_co_art.txt,USampetracciu,-1.155530118698229,-1.0080004295888942,-0.9022274950394581,-0.8312641483385379,-1.0948063718548706,-0.5269599340178681,-0.09668621473449723,-0.38119480212307694
20,Altore_N326_A9_co_let.txt,USampetracciu,-1.0433089480887845,-1.3551905998058662,-0.8122536618917555,-1.3434831223498809,-1.0265742445310617,-0.4636177284962721,0.7294537202438176,-0.6810988896752312
21,Altore_N331_A9_co_art.txt,USampetracciu,-0.911425699835581,-0.995642756327805,-1.1923150466734864,-0.8207516764038781,-0.863430708638636,-0.48575357342442904,-0.2183777685837739,-0.5085512549794264
22,Altore_N332_A9_co_art.txt,USampetracciu,-1.0482997980775344,-1.459976831350474,-0.7839543342242622,-1.1170532386650667,-0.9346570538217973,-0.5209185982209922,0.4065045850947171,-0.5371090404623757
23,Altore_N333_A9_co_art.txt,PetruRocca,-0.8731788924430255,-0.3223042822311377,-1.295208965466606,-1.4621582035448921,-1.3159853165294595,-0.0803031641483487,-0.386714015899147,-0.26117693625279437
24,Altore_N334_A9_co_let.txt,MartinuAppinzapalu,-0.723249629272726,-0.4303896458068554,-1.1512841390945263,-0.9933629038370273,-0.3425411143165658,-0.8030635906044473,-0.5711238495078013,-0.9801341300642437
