,filename,author,M.AlessandridiChidazzu,Maistrale,USampetracciu,V.G.d'Altimonti
0,Altore_N219_A6_co_let.txt,USampetracciu,-0.939628872875488,-0.5943984786562952,0.1437013616104012,-0.6061671174412698
1,Altore_N270_A7_co_art.txt,USampetracciu,-0.7846279027021367,-0.2866334166586717,0.53914093318413,-1.4636249182635663
2,Altore_N270_A7_co_let.txt,USampetracciu,-0.6664956148601271,-1.4749808824439237,1.3194134947727179,-1.1724812281222834
3,Altore_N272_A7_co_poe.txt,Maistrale,-0.4205569960725159,0.0829452054474682,0.07670814245123747,-1.7356041696044795
4,Altore_N274_A7_co_let.txt,USampetracciu,-1.1259110752713015,-1.0325625760534987,1.3449444394664396,-1.1819270833542266
5,Altore_N275_A7_co_poe.txt,USampetracciu,-0.752121808223793,-0.5970580792083271,0.1721798123252073,-0.8190592262468364
6,Altore_N276_A8_co_let.txt,USampetracciu,-0.8438861043027583,-0.6922136201197964,0.9628575191009915,-1.4213053970970404
7,Altore_N290_A8_co_art.txt,USampetracciu,-1.3424250766848123,-0.9464157402831304,0.3016547245209179,-0.009813266255866426
8,Altore_N291_A8_co_let.txt,USampetracciu,-1.0268714129483283,-0.6286020506734818,0.588382369483245,-0.9279952313454402
9,Altore_N299_A8_co_let.txt,USampetracciu,-0.7512490027193354,-1.109994673017345,1.1778504379451427,-1.3127416405931343
10,Altore_N303_A8_co_art.txt,V.G.d'Altimonti,-0.8507404306947923,-1.6125985876741673,0.13742191584921787,0.3296698832335695
11,Altore_N304_A8_co_let.txt,USampetracciu,-1.1959524372326054,-0.8013312387689394,0.47679632375192194,-0.47488842552749244
12,Altore_N305_A8_co_let.txt,V.G.d'Altimonti,-0.423081479777536,-1.038728185620948,-0.4018150480204111,-0.131869951613107
13,Altore_N306_A8_co_art.txt,USampetracciu,-1.496084667919869,-0.6177964087870182,0.7142680789615793,-0.5958121568616878
14,Altore_N310_A9_co_let.txt,USampetracciu,-1.0059116169524864,-0.8584102659734637,1.1910775361085495,-1.3222503867279345
15,Altore_N311_A9_co_art.txt,V.G.d'Altimonti,-0.6953618024983363,-1.1415215938700232,-0.41160192728078504,0.25237963092439397
16,Altore_N313_A9_co_art.txt,V.G.d'Altimonti,-0.6544679957296817,-1.6423714461235117,0.13602366411156935,0.16400776820996643
17,Altore_N314_A9_co_let.txt,USampetracciu,-0.8294446217977224,-1.182922154767814,0.8749088567208968,-0.8575915695142486
18,Altore_N316_A9_co_art.txt,USampetracciu,-1.530450208886693,-1.0440603144214924,0.8689868036096148,-0.28961749706610157
19,Altore_N323_A9_co_art.txt,V.G.d'Altimonti,-0.8123976564123772,-1.1494007829925597,-0.09998007809662651,0.06550908532255462
20,Altore_N326_A9_co_let.txt,USampetracciu,-1.141300821890455,-1.0976321750695426,1.0884131802604688,-0.8453137458211267
21,Altore_N331_A9_co_art.txt,USampetracciu,-1.3485282354308552,-0.7758668387492835,0.39073031523962476,-0.26188146549874897
22,Altore_N332_A9_co_art.txt,USampetracciu,-1.0536474580344615,-1.3191557327825856,1.0873712753685139,-0.709612652143456
23,Altore_N333_A9_co_art.txt,USampetracciu,-1.29911843209292,-1.648794951189252,0.8882992441271272,0.06377406915792705
24,Altore_N334_A9_co_let.txt,USampetracciu,-0.9805061928296694,-0.6381452985241393,0.9416454146672896,-1.316668247686183
25,Altore_N338_A9_co_art.txt,USampetracciu,-0.6960179761179714,-0.8655778037887638,0.2612841083875621,-0.6958156794987856
26,Altore_N346_A10_co_art.txt,USampetracciu,-1.0186847704127677,-0.4220995470525744,0.18889542674947735,-0.7438326118491714
27,Altore_N347_A10_co_art.txt,V.G.d'Altimonti,-1.2272251962074843,-1.6471130989698222,-0.17587831329084616,1.0537156657613058
28,Altore_N348_A10_co_art.txt,USampetracciu,-1.4178744689948817,-1.3040063330908809,1.2876671708881524,-0.5613959897265087
29,Altore_N351_A10_co_art.txt,USampetracciu,-1.3019492266909667,-1.4459628196531746,1.4584337825042413,-0.7062809311567432
30,Altore_N352_A10_co_let.txt,USampetracciu,-0.4422950120198888,-1.2024183975939502,1.4097212752445145,-1.7586318270503198
31,Altore_N356_A10_co_let.txt,USampetracciu,-0.579417003546844,-1.426643444076484,1.0069868402463924,-0.9960258190798152
32,Altore_N357_A10_co_art.txt,USampetracciu,-1.200716708509944,-1.453676494290144,1.291755254870119,-0.6319302234916937
33,Altore_N359_A10_co_let.txt,USampetracciu,-0.7083367363170127,-1.477794015105983,0.5275767170868908,-0.3362573435020189
34,Altore_N367_A10_co_art.txt,USampetracciu,-1.293254643507408,-0.5759710912848525,1.0993228673396889,-1.2254643141188117
35,Altore_N368_A10_co_let.txt,USampetracciu,-0.8313983294332357,-1.0604371152440366,0.00023931935510096425,-0.10414717168329968
36,Altore_N370_A10_co_art.txt,USampetracciu,-1.6077150683913501,-0.5071509744435474,0.6685066514264152,-0.5496110158222645
37,Altore_N372_A10_co_let.txt,USampetracciu,-0.4563980150881644,-1.003547365072505,0.040230644651566616,-0.5765022837974254
38,Altore_N374_A10_co_let.txt,USampetracciu,-1.853202646232661,-0.6843374352213958,1.0947855109796785,-0.552802381550462
39,Altore_N375_A10_co_art.txt,USampetracciu,-0.37882190492568135,-1.671663547257769,0.28685056043307644,-0.2309173003899077
40,Altore_N378_A10_co_let.txt,V.G.d'Altimonti,-1.3390865720551886,-1.265006591007058,0.2805264815285602,0.32761834678845325
41,Altore_N386_A11_co_let.txt,USampetracciu,-1.048296066499962,-1.0441127860420036,0.43936206050338866,-0.342967348700695
