"Person H-ID",Nom
1889,"Petru Lucca"
1894,"R. N."
1912,"C. Barsotti|Ghiuvanni Barsotti (?)"
1925,"Paul Valot"
1946,Ghjilormu
1962,"U Viculacciu"
1972,"U Disertore"
1996,"Petru Maria Alfonsi"
2025,L'Ingénu
2033,L'Aitincu
2036,"U Niulincu"
2039,"U Perellacciu"
2041,"U Pecuraghiu"
2046,"François Pietri"
2053,"Antone Barzocchi"
2057,"U Muvrellu|Austinu Morazzani"
2066,Pulacchinu
2068,L'Ambulante
2076,"Un Studente in legge"
2098,"Ghiaseppu Bianchi"
2108,"Ersilio Michel"
2124,"Carmelo Trasselli"
2138,"Aurèle Patorni"
2152,Fullettu
2156,"Saveriu Malaspina"
2158,"Walter Malturi"
2169,"Ghiuvan Petru d'Ortu"
2172,"Carlu di Crigna"
2180,"Colonel Rossi"
2205,C.
2224,"D. Antonini"
2243,"A. R. Antonini"
2255,"D. Leca di a Soccia"
2268,"Petru di l'Alzimozzu"
2273,"U Campincacciu"
2310,"M. Casta"
2318,"Antone Persiani"
2341,"U Marignanese"
2383,"Ghiuvan Ghjacumu"
2403,"Robert de Jouvenel"
2439,"U paisanu"
2443,"Minutu Grossu"
2462,"Antonia Sterpagalli"
2464,"Antoine Pantalacci|Antone Pantalacci|Capitaine Pantalacci"
2469,"Giulio Bertoni"
2495,"Charles Nivaggioni"
2513,"Lorenzo Corso"
2529,"U Culuniale"
2601,"J.B. Marcaggi"
2616,"U Pumuntincu"
2681,"F. Debauvais"
2696,"P. Vattelapesca"
2706,Pesciu-Anguilla
2714,"Antoine Carli"
2724,"Padu'Antone Morazzani"
2733,"Toto u Malgasciu"
2735,"U Litiese"
2743,"F. B."
2747,"Jean-Michel Santoni"
2748,"Jean Mariani"
2756,"Petru di Baliri"
2759,"Elisée Reclus"
2761,"Joseph Antonini"
2769,"Lisandru di Corti|Sandru"
2775,"Micheli u Vaccilese"
2785,"M. Leca"
2805,"J. Damiani"
2811,"Mme Cesarini-Paoli"
2813,"Elia Romani"
2817,"Gh. Marcelli"
2824,Pennadantuli
2828,"U Muntagnolu"
2856,"Giovanni Cecchini"
2866,"Petru Catrinchia"
2869,"Francescu Zuccarelli"
2878,"Francescu Benedetti"
2900,Mercellu
2911,"U Prufessurellu"
2921,"Adolf Hitler"
2935,"Carlu Pietri"
2936,"Cumandante Leca"
2944,"D. M. de Buttafuoco"
2973,Santinu
2978,"Jacques Duboin"
2996,"Petru Graziani"
3005,"Petru Santu Martini"
3024,"Ciccadone di Corti"
3045,"Petru d'Apricciani"
3048,"P. T."
3052,"Eduardo Cope di Valromita"
3067,Capumonti
3091,Pifinu
3102,"Docteur Pitti-Ferrandi"
3114,"Davide Colombani|Buvone|U Vagabondu"
3122,"A. B. Bartoli"
3128,"Lisandru Ambrosi"
3148,Stendhal
3149,Lanson
3162,"Sebastiano Dalzeto"
3166,"Anton Leonardu Massiani"
3197,"Ghiuvambitu Grimaldi"
3219,"Romualdo Cardarelli"
3234,"Antone Sandri"
3254,Sandrantoni
3278,"Antone di Baliri"
3342,"D. Guerrazzi"
3345,"Y. Douguet"
3347,"Leopoldo Sandri"
