,filename,author,G.dilaGrotta,L'Orsud'Orezza,MartinuAppinzapalu,PetruRocca
0,Altore_N219_A6_co_let.txt,PetruRocca,-0.6056684753327758,-0.650753268326343,-0.6528309589285509,-0.06968380005166863
1,Altore_N270_A7_co_art.txt,MartinuAppinzapalu,-0.5469785952285909,-0.4051005594437205,-0.19233176590057088,-0.842925121716157
2,Altore_N270_A7_co_let.txt,L'Orsud'Orezza,-0.9870486780602274,-0.08919297563139938,-0.6163859048994023,-0.2716075307535009
3,Altore_N272_A7_co_poe.txt,MartinuAppinzapalu,-0.9599930269257939,-0.1715847114240341,-0.12158273823551152,-0.7381496024442701
4,Altore_N274_A7_co_let.txt,L'Orsud'Orezza,-0.9684927431597516,-0.03248350877281253,-0.8315626818458383,-0.13976130076073434
5,Altore_N275_A7_co_poe.txt,PetruRocca,-0.7266880657426376,-1.146307770196053,-0.6730704887080448,0.5647502930027092
6,Altore_N276_A8_co_let.txt,L'Orsud'Orezza,-0.5423738049880139,-0.24838812114720088,-0.4519116231448516,-0.7247472249144955
7,Altore_N290_A8_co_art.txt,PetruRocca,-1.3760344757513614,-0.7230606372730908,-0.44001187680905884,0.5464083778174275
8,Altore_N291_A8_co_let.txt,PetruRocca,-0.7504009450456872,-0.22895159221030686,-1.1885751714530524,0.2017528311764154
9,Altore_N299_A8_co_let.txt,PetruRocca,-0.8350398503190005,-0.8649431448468825,-0.22333544988523218,-0.03639440533447125
10,Altore_N303_A8_co_art.txt,PetruRocca,-0.4947236866238386,-0.3861472583361446,-0.8808612225614313,-0.1928600810616064
11,Altore_N304_A8_co_let.txt,PetruRocca,-0.3439116940378231,-0.7458589017458509,-1.3622403627301471,0.4919601318654848
12,Altore_N305_A8_co_let.txt,PetruRocca,-0.9034957946739046,-0.3027449975160825,-0.5764675225879881,-0.17341819991212953
13,Altore_N306_A8_co_art.txt,PetruRocca,-0.5970537015707981,-0.7957693403022691,-0.9601623100097634,0.3848753913842309
14,Altore_N310_A9_co_let.txt,PetruRocca,-0.8867040506274426,-0.4114584517885716,-0.5926229471376119,-0.09171436514472953
15,Altore_N311_A9_co_art.txt,PetruRocca,-0.7488305074419457,-0.3062572665651442,-0.8257916859203241,-0.09151219016056583
16,Altore_N313_A9_co_art.txt,PetruRocca,-0.9548767384940926,-0.5022401089305211,-0.7857158521114884,0.2561401593027274
17,Altore_N314_A9_co_let.txt,PetruRocca,-1.2328242190147216,-1.1291901030458105,0.09381340994567577,0.275252367807985
18,Altore_N316_A9_co_art.txt,PetruRocca,-1.0265491264003241,-0.528221793392597,-0.21264219141389273,-0.20766358588179284
19,Altore_N323_A9_co_art.txt,PetruRocca,-0.5255015852605223,-0.5335761030294578,-0.808862309016185,-0.11164238352102762
20,Altore_N326_A9_co_let.txt,PetruRocca,-0.8757678100002251,-0.5512647675115996,-1.048849634282158,0.503180315671507
21,Altore_N331_A9_co_art.txt,PetruRocca,-0.533607968396672,-1.0661088782436199,-0.28304999624861843,-0.09920892951503041
22,Altore_N332_A9_co_art.txt,PetruRocca,-0.5724801932257522,-0.8687664727121922,-0.7962934090995821,0.27423216094151637
