,Topic 1,Topic 2,Topic 3,Topic 4
Word 1,corsi,francesi,vole,corsi
Word 2,altri,vole,francesi,pulitica
Word 3,corsu,cumpare,cumpare,academia
Word 4,po,corsi,corsi,tomba
Word 5,vole,corsu,corsa,justizia
Word 6,pulitica,franchi,academia,presidente
Word 7,mancu,muvra,franchi,corsa
Word 8,senza,corsa,avale,senza
Word 9,ad,ecc,omu,muvra
Word 10,mai,corse,ben,lederlin
