,filename,author,G.dilaGrotta,L'Orsud'Orezza,MartinuAppinzapalu,P.diB.,PetruRocca
0,Altore_N219_A6_co_let.txt,P.diB.,-1.058176027904918,-0.6104822489998412,-0.7921026201141502,0.5246968600301627,-1.0616285596319308
1,Altore_N270_A7_co_art.txt,L'Orsud'Orezza,-0.8059366575905044,0.004064004891456641,-0.6395693386134791,-0.15241882050213118,-1.4017322959635463
2,Altore_N270_A7_co_let.txt,L'Orsud'Orezza,-0.6809678968322059,-0.32351797403016164,-0.3485640404354821,-0.8252422408010447,-0.8177113710013044
3,Altore_N272_A7_co_poe.txt,L'Orsud'Orezza,-1.1265479380976293,0.2929817887117562,-0.17331590747461945,-1.2700357250070877,-0.7184641806140036
4,Altore_N274_A7_co_let.txt,L'Orsud'Orezza,-1.0595815706967675,0.32860127763711366,-0.7390280633658018,-0.9601766053584333,-0.5667917096217574
5,Altore_N275_A7_co_poe.txt,PetruRocca,-0.6978765581282466,-1.4011148225756562,-0.218179484858776,-1.1995824578359406,0.5198525846064541
6,Altore_N276_A8_co_let.txt,MartinuAppinzapalu,-0.4994011657203699,-0.6208559903573078,-0.09621400287779164,-0.11864840783930397,-1.661236588047039
7,Altore_N290_A8_co_art.txt,PetruRocca,-1.8180878275165138,-0.6341390599287654,-0.11027123976563341,-1.0618652916172453,0.6262253448047221
8,Altore_N291_A8_co_let.txt,PetruRocca,-1.0443141670890776,-0.3107702574248484,-0.5583241049048518,-1.0250695719481946,-0.058598003653798636
9,Altore_N299_A8_co_let.txt,MartinuAppinzapalu,-0.9094569094359795,-1.0269076126171517,0.30173454096481184,-0.6423452847011135,-0.717633891824409
10,Altore_N303_A8_co_art.txt,MartinuAppinzapalu,-0.8365700100040587,-0.5185996134258796,-0.09954327389374557,-0.16674929423152296,-1.3739437673239143
11,Altore_N304_A8_co_let.txt,PetruRocca,-0.41340519429989414,-1.3213126443314076,-0.10469460698248023,-1.12691038909934,-0.028993966668075744
12,Altore_N305_A8_co_let.txt,MartinuAppinzapalu,-0.9667932066976892,-0.6710241511342274,0.04219594629952922,-0.40178260704209195,-0.9980030046505195
13,Altore_N306_A8_co_art.txt,P.diB.,-1.1645883221316407,-1.063505940301772,-0.16011676144480652,-0.10605084381890595,-0.5018255385969881
14,Altore_N310_A9_co_let.txt,PetruRocca,-0.6433844703882332,-0.4767010098396838,-0.8772675239296447,-0.89502889462006,-0.10482204001394746
15,Altore_N311_A9_co_art.txt,L'Orsud'Orezza,-0.8078284285379297,-0.45671811195277356,-0.5152173100381777,-0.6497547408835379,-0.5667992234511255
16,Altore_N313_A9_co_art.txt,PetruRocca,-1.1932401508044626,-0.3232923947499128,-0.6163618934129429,-0.8938365353820147,0.02973286693086208
17,Altore_N314_A9_co_let.txt,PetruRocca,-1.1419924070921565,-1.0202072127791295,0.08126818364260341,-1.654124120202804,0.7382536753964941
18,Altore_N316_A9_co_art.txt,MartinuAppinzapalu,-1.0404446991406984,-0.4547925790491792,-0.4217575504569704,-0.4471976856744264,-0.6326287320355486
19,Altore_N323_A9_co_art.txt,PetruRocca,-0.6856572869221342,-0.6213228617215708,-0.2736167484364439,-1.1721899502607114,-0.2438213324308619
20,Altore_N326_A9_co_let.txt,PetruRocca,-1.134207665620859,-0.41812930880437404,-0.6411905495179483,-0.6528909291062795,-0.15182062842792154
21,Altore_N331_A9_co_art.txt,P.diB.,-0.6059738465551197,-0.8720081907595746,-0.6727665922072972,-0.03541965053440532,-0.8100547967258631
22,Altore_N332_A9_co_art.txt,P.diB.,-0.9008855724887719,-0.835160203503428,-0.5309101397180708,-0.050603815901155036,-0.6792108154438825
23,Altore_N333_A9_co_art.txt,L'Orsud'Orezza,-0.774377003084117,0.06707324717407925,-1.3393693187490694,-0.7156565459825868,-0.23492880204343725
24,Altore_N334_A9_co_let.txt,MartinuAppinzapalu,-0.6747696959337603,-0.45341823064430586,-0.22737153686469455,-0.8341968769306902,-0.8065367716183447
25,Altore_N338_A9_co_art.txt,L'Orsud'Orezza,-0.8327126285234017,0.006809724135456663,-0.7462358391935046,-0.18008552988704063,-1.244007102589696
26,Altore_N346_A10_co_art.txt,L'Orsud'Orezza,-0.8361555888595549,-0.2858747742288505,-0.3295663684509038,-0.9999194796767037,-0.5451155835977327
27,Altore_N347_A10_co_art.txt,PetruRocca,-0.6240932737381519,-0.4585860012295603,-1.0363022172942786,-0.7996703628254873,-0.07843033320465187
28,Altore_N348_A10_co_art.txt,PetruRocca,-1.0246557189037178,-0.8217604091484942,-1.0094992239777334,-0.11739161549057686,-0.02370288272055443
29,Altore_N351_A10_co_art.txt,L'Orsud'Orezza,-0.7348444498024942,-0.21388802004548735,-1.0595803784318794,-0.3380623787446635,-0.649592042505884
30,Altore_N352_A10_co_let.txt,P.diB.,-1.1256538142920363,-0.4487754379831187,-0.866353731904201,-0.2491120852389928,-0.3087688771868923
31,Altore_N356_A10_co_let.txt,MartinuAppinzapalu,-0.7686786596781807,-0.6246734156802424,0.19379204054729776,-0.5878294128588238,-1.2072826203871956
32,Altore_N357_A10_co_art.txt,PetruRocca,-1.0986965933714612,-0.6211889763454327,-0.824730985337338,-0.4154607861556643,-0.03716720216488234
33,Altore_N359_A10_co_let.txt,PetruRocca,-0.2675360157277821,-1.0803092584539764,-1.2720605442104957,-0.2537102078550766,-0.12251085761018465
34,Altore_N367_A10_co_art.txt,L'Orsud'Orezza,-1.2517393736354896,0.09680120903636302,-1.1404226851743253,-0.03338028689760719,-0.669009592459137
